id,left,top,right,bottom
3666,889114.896500000031665,1891586.000299999956042,897114.896500000031665,1880586.000299999956042
3670,889114.896500000031665,1847586.000299999956042,897114.896500000031665,1836586.000299999956042
3671,889114.896500000031665,1836586.000299999956042,897114.896500000031665,1825586.000299999956042
3672,889114.896500000031665,1825586.000299999956042,897114.896500000031665,1814586.000299999956042
3673,889114.896500000031665,1814586.000299999956042,897114.896500000031665,1803586.000299999956042
3677,889114.896500000031665,1770586.000299999956042,897114.896500000031665,1759586.000299999956042
3678,889114.896500000031665,1759586.000299999956042,897114.896500000031665,1748586.000299999956042
3679,889114.896500000031665,1748586.000299999956042,897114.896500000031665,1737586.000299999956042
3680,889114.896500000031665,1737586.000299999956042,897114.896500000031665,1726586.000299999956042
3685,889114.896500000031665,1682586.000299999956042,897114.896500000031665,1671586.000299999956042
3686,889114.896500000031665,1671586.000299999956042,897114.896500000031665,1660586.000299999956042
3687,889114.896500000031665,1660586.000299999956042,897114.896500000031665,1649586.000299999956042
3688,889114.896500000031665,1649586.000299999956042,897114.896500000031665,1638586.000299999956042
3689,889114.896500000031665,1638586.000299999956042,897114.896500000031665,1627586.000299999956042
3690,889114.896500000031665,1627586.000299999956042,897114.896500000031665,1616586.000299999956042
3693,889114.896500000031665,1594586.000299999956042,897114.896500000031665,1583586.000299999956042
3695,889114.896500000031665,1572586.000299999956042,897114.896500000031665,1561586.000299999956042
3697,889114.896500000031665,1550586.000299999956042,897114.896500000031665,1539586.000299999956042
3701,889114.896500000031665,1506586.000299999956042,897114.896500000031665,1495586.000299999956042
3723,897114.896500000031665,1968586.000299999956042,905114.896500000031665,1957586.000299999956042
3725,897114.896500000031665,1946586.000299999956042,905114.896500000031665,1935586.000299999956042
3726,897114.896500000031665,1935586.000299999956042,905114.896500000031665,1924586.000299999956042
3729,897114.896500000031665,1902586.000299999956042,905114.896500000031665,1891586.000299999956042
3734,897114.896500000031665,1847586.000299999956042,905114.896500000031665,1836586.000299999956042
3735,897114.896500000031665,1836586.000299999956042,905114.896500000031665,1825586.000299999956042
3736,897114.896500000031665,1825586.000299999956042,905114.896500000031665,1814586.000299999956042
3737,897114.896500000031665,1814586.000299999956042,905114.896500000031665,1803586.000299999956042
3738,897114.896500000031665,1803586.000299999956042,905114.896500000031665,1792586.000299999956042
3739,897114.896500000031665,1792586.000299999956042,905114.896500000031665,1781586.000299999956042
3740,897114.896500000031665,1781586.000299999956042,905114.896500000031665,1770586.000299999956042
3741,897114.896500000031665,1770586.000299999956042,905114.896500000031665,1759586.000299999956042
3742,897114.896500000031665,1759586.000299999956042,905114.896500000031665,1748586.000299999956042
3743,897114.896500000031665,1748586.000299999956042,905114.896500000031665,1737586.000299999956042
3744,897114.896500000031665,1737586.000299999956042,905114.896500000031665,1726586.000299999956042
3745,897114.896500000031665,1726586.000299999956042,905114.896500000031665,1715586.000299999956042
3751,897114.896500000031665,1660586.000299999956042,905114.896500000031665,1649586.000299999956042
3752,897114.896500000031665,1649586.000299999956042,905114.896500000031665,1638586.000299999956042
3764,897114.896500000031665,1517586.000299999956042,905114.896500000031665,1506586.000299999956042
3765,897114.896500000031665,1506586.000299999956042,905114.896500000031665,1495586.000299999956042
3768,897114.896500000031665,1473586.000299999956042,905114.896500000031665,1462586.000299999956042
3770,897114.896500000031665,1451586.000299999956042,905114.896500000031665,1440586.000299999956042
3790,905114.896500000031665,1935586.000299999956042,913114.896500000031665,1924586.000299999956042
3791,905114.896500000031665,1924586.000299999956042,913114.896500000031665,1913586.000299999956042
3792,905114.896500000031665,1913586.000299999956042,913114.896500000031665,1902586.000299999956042
3793,905114.896500000031665,1902586.000299999956042,913114.896500000031665,1891586.000299999956042
3794,905114.896500000031665,1891586.000299999956042,913114.896500000031665,1880586.000299999956042
3798,905114.896500000031665,1847586.000299999956042,913114.896500000031665,1836586.000299999956042
3799,905114.896500000031665,1836586.000299999956042,913114.896500000031665,1825586.000299999956042
3800,905114.896500000031665,1825586.000299999956042,913114.896500000031665,1814586.000299999956042
3801,905114.896500000031665,1814586.000299999956042,913114.896500000031665,1803586.000299999956042
3802,905114.896500000031665,1803586.000299999956042,913114.896500000031665,1792586.000299999956042
3803,905114.896500000031665,1792586.000299999956042,913114.896500000031665,1781586.000299999956042
3804,905114.896500000031665,1781586.000299999956042,913114.896500000031665,1770586.000299999956042
3805,905114.896500000031665,1770586.000299999956042,913114.896500000031665,1759586.000299999956042
3806,905114.896500000031665,1759586.000299999956042,913114.896500000031665,1748586.000299999956042
3807,905114.896500000031665,1748586.000299999956042,913114.896500000031665,1737586.000299999956042
3808,905114.896500000031665,1737586.000299999956042,913114.896500000031665,1726586.000299999956042
3821,905114.896500000031665,1594586.000299999956042,913114.896500000031665,1583586.000299999956042
3822,905114.896500000031665,1583586.000299999956042,913114.896500000031665,1572586.000299999956042
3828,905114.896500000031665,1517586.000299999956042,913114.896500000031665,1506586.000299999956042
3829,905114.896500000031665,1506586.000299999956042,913114.896500000031665,1495586.000299999956042
3832,905114.896500000031665,1473586.000299999956042,913114.896500000031665,1462586.000299999956042
3833,905114.896500000031665,1462586.000299999956042,913114.896500000031665,1451586.000299999956042
3837,905114.896500000031665,1418586.000299999956042,913114.896500000031665,1407586.000299999956042
3853,913114.896500000031665,1946586.000299999956042,921114.896500000031665,1935586.000299999956042
3854,913114.896500000031665,1935586.000299999956042,921114.896500000031665,1924586.000299999956042
3856,913114.896500000031665,1913586.000299999956042,921114.896500000031665,1902586.000299999956042
3857,913114.896500000031665,1902586.000299999956042,921114.896500000031665,1891586.000299999956042
3867,913114.896500000031665,1792586.000299999956042,921114.896500000031665,1781586.000299999956042
3868,913114.896500000031665,1781586.000299999956042,921114.896500000031665,1770586.000299999956042
3885,913114.896500000031665,1594586.000299999956042,921114.896500000031665,1583586.000299999956042
3886,913114.896500000031665,1583586.000299999956042,921114.896500000031665,1572586.000299999956042
3888,913114.896500000031665,1561586.000299999956042,921114.896500000031665,1550586.000299999956042
3891,913114.896500000031665,1528586.000299999956042,921114.896500000031665,1517586.000299999956042
3892,913114.896500000031665,1517586.000299999956042,921114.896500000031665,1506586.000299999956042
3893,913114.896500000031665,1506586.000299999956042,921114.896500000031665,1495586.000299999956042
3896,913114.896500000031665,1473586.000299999956042,921114.896500000031665,1462586.000299999956042
3897,913114.896500000031665,1462586.000299999956042,921114.896500000031665,1451586.000299999956042
3903,913114.896500000031665,1396586.000299999956042,921114.896500000031665,1385586.000299999956042
3904,913114.896500000031665,1385586.000299999956042,921114.896500000031665,1374586.000299999956042
3918,921114.896500000031665,1935586.000299999956042,929114.896500000031665,1924586.000299999956042
3920,921114.896500000031665,1913586.000299999956042,929114.896500000031665,1902586.000299999956042
3932,921114.896500000031665,1781586.000299999956042,929114.896500000031665,1770586.000299999956042
3948,921114.896500000031665,1605586.000299999956042,929114.896500000031665,1594586.000299999956042
3951,921114.896500000031665,1572586.000299999956042,929114.896500000031665,1561586.000299999956042
3956,921114.896500000031665,1517586.000299999956042,929114.896500000031665,1506586.000299999956042
3959,921114.896500000031665,1484586.000299999956042,929114.896500000031665,1473586.000299999956042
3960,921114.896500000031665,1473586.000299999956042,929114.896500000031665,1462586.000299999956042
3967,921114.896500000031665,1396586.000299999956042,929114.896500000031665,1385586.000299999956042
3982,929114.896500000031665,1935586.000299999956042,937114.896500000031665,1924586.000299999956042
3986,929114.896500000031665,1891586.000299999956042,937114.896500000031665,1880586.000299999956042
3996,929114.896500000031665,1781586.000299999956042,937114.896500000031665,1770586.000299999956042
4011,929114.896500000031665,1616586.000299999956042,937114.896500000031665,1605586.000299999956042
4012,929114.896500000031665,1605586.000299999956042,937114.896500000031665,1594586.000299999956042
4013,929114.896500000031665,1594586.000299999956042,937114.896500000031665,1583586.000299999956042
4014,929114.896500000031665,1583586.000299999956042,937114.896500000031665,1572586.000299999956042
4015,929114.896500000031665,1572586.000299999956042,937114.896500000031665,1561586.000299999956042
4020,929114.896500000031665,1517586.000299999956042,937114.896500000031665,1506586.000299999956042
4023,929114.896500000031665,1484586.000299999956042,937114.896500000031665,1473586.000299999956042
4024,929114.896500000031665,1473586.000299999956042,937114.896500000031665,1462586.000299999956042
4031,929114.896500000031665,1396586.000299999956042,937114.896500000031665,1385586.000299999956042
4050,937114.896500000031665,1891586.000299999956042,945114.896500000031665,1880586.000299999956042
4053,937114.896500000031665,1858586.000299999956042,945114.896500000031665,1847586.000299999956042
4077,937114.896500000031665,1594586.000299999956042,945114.896500000031665,1583586.000299999956042
4078,937114.896500000031665,1583586.000299999956042,945114.896500000031665,1572586.000299999956042
4079,937114.896500000031665,1572586.000299999956042,945114.896500000031665,1561586.000299999956042
4082,937114.896500000031665,1539586.000299999956042,945114.896500000031665,1528586.000299999956042
4083,937114.896500000031665,1528586.000299999956042,945114.896500000031665,1517586.000299999956042
4087,937114.896500000031665,1484586.000299999956042,945114.896500000031665,1473586.000299999956042
4088,937114.896500000031665,1473586.000299999956042,945114.896500000031665,1462586.000299999956042
4094,937114.896500000031665,1407586.000299999956042,945114.896500000031665,1396586.000299999956042
4139,945114.896500000031665,1616586.000299999956042,953114.896500000031665,1605586.000299999956042
4140,945114.896500000031665,1605586.000299999956042,953114.896500000031665,1594586.000299999956042
4148,945114.896500000031665,1517586.000299999956042,953114.896500000031665,1506586.000299999956042
4149,945114.896500000031665,1506586.000299999956042,953114.896500000031665,1495586.000299999956042
4152,945114.896500000031665,1473586.000299999956042,953114.896500000031665,1462586.000299999956042
4160,945114.896500000031665,1385586.000299999956042,953114.896500000031665,1374586.000299999956042
4203,953114.896500000031665,1616586.000299999956042,961114.896500000031665,1605586.000299999956042
4204,953114.896500000031665,1605586.000299999956042,961114.896500000031665,1594586.000299999956042
4210,953114.896500000031665,1539586.000299999956042,961114.896500000031665,1528586.000299999956042
4211,953114.896500000031665,1528586.000299999956042,961114.896500000031665,1517586.000299999956042
4213,953114.896500000031665,1506586.000299999956042,961114.896500000031665,1495586.000299999956042
4257,961114.896500000031665,1726586.000299999956042,969114.896500000031665,1715586.000299999956042
4265,961114.896500000031665,1638586.000299999956042,969114.896500000031665,1627586.000299999956042
4266,961114.896500000031665,1627586.000299999956042,969114.896500000031665,1616586.000299999956042
4267,961114.896500000031665,1616586.000299999956042,969114.896500000031665,1605586.000299999956042
