id,left,top,right,bottom
406,893163.511000000056811,1897064.378900000127032,896163.511000000056811,1894064.378900000127032
407,893163.511000000056811,1894064.378900000127032,896163.511000000056811,1891064.378900000127032
412,896163.511000000056811,1951064.378900000127032,899163.511000000056811,1948064.378900000127032
413,896163.511000000056811,1948064.378900000127032,899163.511000000056811,1945064.378900000127032
414,896163.511000000056811,1945064.378900000127032,899163.511000000056811,1942064.378900000127032
415,896163.511000000056811,1942064.378900000127032,899163.511000000056811,1939064.378900000127032
416,896163.511000000056811,1939064.378900000127032,899163.511000000056811,1936064.378900000127032
417,896163.511000000056811,1936064.378900000127032,899163.511000000056811,1933064.378900000127032
418,896163.511000000056811,1933064.378900000127032,899163.511000000056811,1930064.378900000127032
419,896163.511000000056811,1930064.378900000127032,899163.511000000056811,1927064.378900000127032
420,896163.511000000056811,1927064.378900000127032,899163.511000000056811,1924064.378900000127032
422,896163.511000000056811,1921064.378900000127032,899163.511000000056811,1918064.378900000127032
423,896163.511000000056811,1918064.378900000127032,899163.511000000056811,1915064.378900000127032
424,896163.511000000056811,1915064.378900000127032,899163.511000000056811,1912064.378900000127032
427,896163.511000000056811,1906064.378900000127032,899163.511000000056811,1903064.378900000127032
428,896163.511000000056811,1903064.378900000127032,899163.511000000056811,1900064.378900000127032
429,896163.511000000056811,1900064.378900000127032,899163.511000000056811,1897064.378900000127032
430,896163.511000000056811,1897064.378900000127032,899163.511000000056811,1894064.378900000127032
431,896163.511000000056811,1894064.378900000127032,899163.511000000056811,1891064.378900000127032
432,896163.511000000056811,1891064.378900000127032,899163.511000000056811,1888064.378900000127032
437,899163.511000000056811,1948064.378900000127032,902163.511000000056811,1945064.378900000127032
438,899163.511000000056811,1945064.378900000127032,902163.511000000056811,1942064.378900000127032
439,899163.511000000056811,1942064.378900000127032,902163.511000000056811,1939064.378900000127032
440,899163.511000000056811,1939064.378900000127032,902163.511000000056811,1936064.378900000127032
441,899163.511000000056811,1936064.378900000127032,902163.511000000056811,1933064.378900000127032
442,899163.511000000056811,1933064.378900000127032,902163.511000000056811,1930064.378900000127032
443,899163.511000000056811,1930064.378900000127032,902163.511000000056811,1927064.378900000127032
444,899163.511000000056811,1927064.378900000127032,902163.511000000056811,1924064.378900000127032
445,899163.511000000056811,1924064.378900000127032,902163.511000000056811,1921064.378900000127032
446,899163.511000000056811,1921064.378900000127032,902163.511000000056811,1918064.378900000127032
447,899163.511000000056811,1918064.378900000127032,902163.511000000056811,1915064.378900000127032
448,899163.511000000056811,1915064.378900000127032,902163.511000000056811,1912064.378900000127032
449,899163.511000000056811,1912064.378900000127032,902163.511000000056811,1909064.378900000127032
450,899163.511000000056811,1909064.378900000127032,902163.511000000056811,1906064.378900000127032
451,899163.511000000056811,1906064.378900000127032,902163.511000000056811,1903064.378900000127032
452,899163.511000000056811,1903064.378900000127032,902163.511000000056811,1900064.378900000127032
453,899163.511000000056811,1900064.378900000127032,902163.511000000056811,1897064.378900000127032
454,899163.511000000056811,1897064.378900000127032,902163.511000000056811,1894064.378900000127032
455,899163.511000000056811,1894064.378900000127032,902163.511000000056811,1891064.378900000127032
460,902163.511000000056811,1951064.378900000127032,905163.511000000056811,1948064.378900000127032
461,902163.511000000056811,1948064.378900000127032,905163.511000000056811,1945064.378900000127032
463,902163.511000000056811,1942064.378900000127032,905163.511000000056811,1939064.378900000127032
464,902163.511000000056811,1939064.378900000127032,905163.511000000056811,1936064.378900000127032
465,902163.511000000056811,1936064.378900000127032,905163.511000000056811,1933064.378900000127032
